Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species,Filename
1,Spectrogram 1,1,110.0755098,110.3044236,0,12000,podocnemis_expansa,240706_0256
2,Spectrogram 1,1,110.3178891,110.4660098,0,11363.6,podocnemis_expansa,240706_0256
3,Spectrogram 1,1,124.1414561,124.2402032,0,9727.3,podocnemis_expansa,240706_0256
4,Spectrogram 1,1,124.7680626,124.9687121,0,9909.1,podocnemis_expansa,240706_0256
5,Spectrogram 1,1,124.9799334,125.1751833,0,9636.4,podocnemis_expansa,240706_0256
1,Spectrogram 1,1,22.09830866,22.22735319,0,14464.3,podocnemis_expansa,240706_0257
2,Spectrogram 1,1,25.81016023,25.90217459,0,15321.4,podocnemis_expansa,240706_0257
3,Spectrogram 1,1,37.84727336,38.08965265,0,7714.3,podocnemis_expansa,240706_0257
4,Spectrogram 1,1,40.89279524,41.01188083,0,11571.4,podocnemis_expansa,240706_0257
6,Spectrogram 1,1,44.42510435,44.51375233,0,12321.4,podocnemis_expansa,240706_0257
7,Spectrogram 1,1,45.62357302,45.74588479,0,21428.6,podocnemis_expansa,240706_0257
8,Spectrogram 1,1,46.8945,47.10211778,0,10928.6,podocnemis_expansa,240706_0257
9,Spectrogram 1,1,51.68319725,51.90986677,0,13607.1,podocnemis_expansa,240706_0257
10,Spectrogram 1,1,66.69892246,66.82460062,0,14142.9,podocnemis_expansa,240706_0257
11,Spectrogram 1,1,143.8210915,143.9557467,0,13392.9,podocnemis_expansa,240706_0257
12,Spectrogram 1,1,176.3049963,176.6223134,0,8142.9,podocnemis_expansa,240706_0257
15,Spectrogram 1,1,177.0851519,177.3770666,0,6467.706,podocnemis_expansa,240706_0257
13,Spectrogram 1,1,177.4342892,177.6194401,0,14142.9,podocnemis_expansa,240706_0257
14,Spectrogram 1,1,217.5254083,217.9428393,0,4285.7,podocnemis_expansa,240706_0257
16,Spectrogram 1,1,218.7807918,218.8864188,0,10530.067,podocnemis_expansa,240706_0257
5,Spectrogram 1,1,76.71571942,76.96258722,0,9888,podocnemis_expansa,240706_0258
