Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	94.770025686	95.138083132	0.000	17463.035
1	Spectrogram 1	1	94.770025686	95.138083132	0.000	17463.035
2	Waveform 1	1	128.780703481	130.792196697	0.000	24000.000
2	Spectrogram 1	1	128.780703481	130.792196697	0.000	24000.000
3	Waveform 1	1	147.218250804	147.522127257	0.000	10230.800
3	Spectrogram 1	1	147.218250804	147.522127257	0.000	10230.800
5	Waveform 1	1	233.353263922	233.536422332	0.000	17556.420
5	Spectrogram 1	1	233.353263922	233.536422332	0.000	17556.420
6	Waveform 1	1	234.935587485	235.222851833	0.000	19384.600
6	Spectrogram 1	1	234.935587485	235.222851833	0.000	19384.600
7	Waveform 1	1	94.042702399	94.317707160	0.000	18666.667
7	Spectrogram 1	1	94.042702399	94.317707160	0.000	18666.667
8	Waveform 1	1	131.758813469	132.091828760	0.000	12985.507
8	Spectrogram 1	1	131.758813469	132.091828760	0.000	12985.507
9	Waveform 1	1	174.416242798	174.747910398	0.000	9203.883
9	Spectrogram 1	1	174.416242798	174.747910398	0.000	9203.883
10	Waveform 1	1	175.265281341	175.496972583	0.000	9436.893
10	Spectrogram 1	1	175.265281341	175.496972583	0.000	9436.893
