Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.458997509	0.710581918	0	7049
2	Spectrogram 1	1	1.296331877	1.622815461	0	8895.1
3	Spectrogram 1	1	1.80526217	2.022277728	0	8000
4	Spectrogram 1	1	2.275920604	2.660018938	0	17734.3
5	Spectrogram 1	1	4.11729224	4.524436474	0	16503.5
6	Spectrogram 1	1	4.53211844	4.898932349	0	9286.7
7	Spectrogram 1	1	40.297064794	40.525603303	0	10293.7
8	Spectrogram 1	1	52.54539769	52.850755865	0	9566.4
9	Spectrogram 1	1	54.058992314	54.60633244	0	6657.3
10	Spectrogram 1	1	55.842168311	56.224346153	0	9902.1
11	Spectrogram 1	1	87.606561362	87.88119167	0	8055.9
12	Spectrogram 1	1	186.950564117	187.215591968	0	6825.2
13	Spectrogram 1	1	188.582982037	188.830725462	0	6433.6
14	Spectrogram 1	1	205.361599426	205.718810877	0	6433.6
15	Spectrogram 1	1	206.664378946	207.399927256	0	8615.4
16	Spectrogram 1	1	208.529175172	209.091879231	0	5818.2
17	Spectrogram 1	1	209.364588382	209.915769491	0	17398.6
18	Spectrogram 1	1	250.713267066	250.9821359	0	7944.1
19	Spectrogram 1	1	275.419705496	275.60791368	0	20083.9
